id,name,description,artifact
io.moderne.elastic.elastic9.MigrateDenseVectorElementType,Migrate DenseVectorProperty.elementType from String to DenseVectorElementType enum,In Elasticsearch 9 `DenseVectorProperty.elementType()` returns `DenseVectorElementType` enum instead of `String` and the builder method `elementType(String)` now accepts the enum type. This recipe handles both builder calls and getter calls.,io.moderne.recipe:rewrite-elastic:0.4.0-20251021.171041-11
io.moderne.elastic.elastic9.MigrateDenseVectorSimilarity,Migrate DenseVectorProperty.similarity from String to DenseVectorSimilarity enum,In Elasticsearch 9 `DenseVectorProperty.similarity()` returns `DenseVectorSimilarity` enum instead of `String` and the builder method `similarity(String)` now accepts the enum type. This recipe handles both builder calls and getter calls.,io.moderne.recipe:rewrite-elastic:0.4.0-20251021.171041-11
io.moderne.elastic.elastic9.MigrateMatchedQueries,Migrate `matchedQueries` from List to Map,In Elasticsearch Java Client 9.0 `Hit.matchedQueries()` changed from returning `List<String>` to `Map<String Double>`. This recipe migrates the usage by adding `.keySet()` for iterations and using `new ArrayList<>(result.keySet())` for assignments.,io.moderne.recipe:rewrite-elastic:0.4.0-20251021.171041-11
io.moderne.elastic.elastic9.MigrateScriptSource,Migrate script source from String to Script/ScriptSource,Migrates `Script.source(String)` calls to use `ScriptSource.scriptString(String)` wrapper in Elasticsearch Java client 9.x.,io.moderne.recipe:rewrite-elastic:0.4.0-20251021.171041-11
io.moderne.elastic.elastic9.MigrateSpanTermQueryValue,Migrate `SpanTermQuery.value()` from String to FieldValue,In Elasticsearch 9 `SpanTermQuery.value()` returns a `FieldValue` instead of `String`. This recipe updates calls to handle the new return type by checking if it's a string and extracting the string value.,io.moderne.recipe:rewrite-elastic:0.4.0-20251021.171041-11
io.moderne.elastic.elastic9.RenameApiField,Rename `Elasticsearch valueBody()` methods,In Elasticsearch Java Client 9.0 the generic `valueBody()` method and `valueBody(...)` builder methods have been replaced with specific getter and setter methods that better reflect the type of data being returned. Similarly for `GetRepositoryResponse` the `result` field also got altered to `repositories`.,io.moderne.recipe:rewrite-elastic:0.4.0-20251021.171041-11
io.moderne.elastic.elastic9.UseNamedValueParameters,Use NamedValue parameters instead of Map,Migrates `indicesBoost` and `dynamicTemplates` parameters from `Map` to `NamedValue` in Elasticsearch Java client 9.x.,io.moderne.recipe:rewrite-elastic:0.4.0-20251021.171041-11
io.moderne.elastic.elastic9.MigrateToElasticsearch9,Migrate from Elasticsearch 8 to 9,This recipe performs a comprehensive migration from Elasticsearch 8 to Elasticsearch 9 addressing breaking changes API removals deprecations and required code modifications.,io.moderne.recipe:rewrite-elastic:0.4.0-20251021.171041-11
io.moderne.elastic.elastic9.RenameApiFields,Rename API fields for Elasticsearch 9,Renames various API response fields from `valueBody` to align with Elasticsearch 9 specifications.,io.moderne.recipe:rewrite-elastic:0.4.0-20251021.171041-11
io.moderne.elastic.elastic9.ChangeApiNumericFieldTypes,Change numeric field types for Elasticsearch 9,Handles changes between different numeric types (`Long` to `Integer` `int` to `Long`...) in Elasticsearch 9 API responses by adding appropriate conversion methods with null checks.,io.moderne.recipe:rewrite-elastic:0.4.0-20251021.171041-11
io.moderne.hibernate.search.FindJPQLDefinitions,Find JPQL definitions,Find Java Persistence Query Language definitions in the codebase.,io.moderne.recipe:rewrite-hibernate:0.14.0-20251021.170654-12
io.moderne.hibernate.update66.FixConflictingClassTypeAnnotations,Fix conflicting class type annotation Hibernate 6.6,Since Hibernate 6.6 a mapped class can have *either* `@MappedSuperclass` or `@Embeddable` or `@Entity`. This recipe removes `@Entity` from classes annotated with `@MappedSuperclass` or `@Embeddable`. For the moment die combination of `@MappedSuperclass` or `@Embeddable` is advised to migrate to [Single Table Inheritance](https://docs.jboss.org/hibernate/orm/6.6/userguide/html_single/Hibernate_User_Guide.html#entity-inheritance-single-table) but still accepted and therefore stays.,io.moderne.recipe:rewrite-hibernate:0.14.0-20251021.170654-12
io.moderne.hibernate.update70.AddCascadePersistToIdMappedAssociations,Migrate implicit cascade=PERSIST for @Id and @MapsId associations,Hibernate used to automatically enable cascade=PERSIST for association fields annotated @Id or @MapsId. This was undocumented and unexpected behavior and no longer supported in Hibernate 7. Existing code which relies on this behavior will be modified by addition of explicit cascade=PERSIST to the association fields.,io.moderne.recipe:rewrite-hibernate:0.14.0-20251021.170654-12
io.moderne.hibernate.update70.CompositeUserTypeSessionFactoryImplementor,Remove leaking of SessionFactoryImplementor from `org.hibernate.usertype.CompositeUserType` invocations and implementations,Remove leaking of SessionFactoryImplementor from `org.hibernate.usertype.CompositeUserType` invocations and implementations.,io.moderne.recipe:rewrite-hibernate:0.14.0-20251021.170654-12
io.moderne.hibernate.update70.MigrateConfigurableToGeneratorCreationContext,Migrate `Configurable.configure()` to use `GeneratorCreationContext`,In Hibernate 7.0 `Configurable.configure()` now takes a `GeneratorCreationContext` parameter instead of `ServiceRegistry`. This recipe migrates method signatures and call sites.,io.moderne.recipe:rewrite-hibernate:0.14.0-20251021.170654-12
io.moderne.hibernate.update70.MigrateIntegratorMethod,Migrate Hibernate `Integrator#integrate` method,Migrate Hibernate `Integrator#integrate` method from deprecated signature to Hibernate 7 compatible signature. Changes `integrate(Metadata SessionFactoryImplementor SessionFactoryServiceRegistry)` to `integrate(Metadata BootstrapContext SessionFactoryImplementor)`.,io.moderne.recipe:rewrite-hibernate:0.14.0-20251021.170654-12
io.moderne.hibernate.update70.MigrateJdbcTypeToJdbcTypeCode,Migrate @JdbcType to @JdbcTypeCode,In Hibernate 7.0 various JDBC types were moved to internal packages. Use @JdbcTypeCode with SqlTypes constants instead of @JdbcType with specific classes.,io.moderne.recipe:rewrite-hibernate:0.14.0-20251021.170654-12
io.moderne.hibernate.update70.MigrateLockOptionsToDirectParameters,Migrate LockOptions to direct parameters,Migrates deprecated `LockOptions` usage to direct parameters in method calls. As of JPA 3.2 and Hibernate 7 `LockMode` `Timeout` and `PessimisticLockScope` are passed directly to `find()` `refresh()` and `lock()` methods instead of being wrapped in a `LockOptions` object.,io.moderne.recipe:rewrite-hibernate:0.14.0-20251021.170654-12
io.moderne.hibernate.update70.MigrateMetamodelImplementor,Migrate `MetamodelImplementor` to Hibernate 7.0,In Hibernate 7.0 `MetamodelImplementor` has been split into `MappingMetamodel` for ORM-specific operations and `JpaMetamodel` for JPA-standard operations. This recipe migrates the usage based on which methods are called.,io.moderne.recipe:rewrite-hibernate:0.14.0-20251021.170654-12
io.moderne.hibernate.update70.MigrateNaturalIdLoadAccess,Migrate NaturalIdLoadAccess method calls,Migrates NaturalIdLoadAccess#using(Object...) to using(Map.of(...)) variants for Hibernate 7.0.,io.moderne.recipe:rewrite-hibernate:0.14.0-20251021.170654-12
io.moderne.hibernate.update70.MigrateNaturalIdMultiLoadAccess,Migrate NaturalIdMultiLoadAccess method calls,Migrates NaturalIdMultiLoadAccess#compoundValue(Object...) to Map.of(...) variants for Hibernate 7.0.,io.moderne.recipe:rewrite-hibernate:0.14.0-20251021.170654-12
io.moderne.hibernate.update70.MigrateSessionInterface,Migrate Session interface method calls,Migrates code using deprecated Session interface methods to their Hibernate 7.0 replacements.,io.moderne.recipe:rewrite-hibernate:0.14.0-20251021.170654-12
io.moderne.hibernate.update70.MigrateSessionToDeferToJPA,Migrate Session save/update/delete method calls,Migrates code using deprecated Session load/get/refresh/save/update/delete methods to their Hibernate 7.0 replacements.,io.moderne.recipe:rewrite-hibernate:0.14.0-20251021.170654-12
io.moderne.hibernate.update70.MigrateSetFlushModeToSetQueryFlushMode,Migrate `setFlushMode()` to `setQueryFlushMode()`,In Hibernate 7.0 `CommonQueryContract.setFlushMode(FlushModeType)` has been replaced with `setQueryFlushMode(QueryFlushMode)`. This recipe migrates the method call and converts `FlushModeType` parameters to their `QueryFlushMode` equivalents.,io.moderne.recipe:rewrite-hibernate:0.14.0-20251021.170654-12
io.moderne.hibernate.update70.MigrateToTargetEmbeddable,Migrate to @TargetEmbeddable,Migrates code using removed @Target to to Hibernate 7.0's @TargetEmbeddable equivalent. Removes misused @Target annotations.,io.moderne.recipe:rewrite-hibernate:0.14.0-20251021.170654-12
io.moderne.hibernate.update70.RemoveUnnecessaryCastToSession,Remove unnecessary cast to `Session` for `SessionFactory.createEntityManager()`,In Hibernate 7.0 `SessionFactory.createEntityManager()` explicitly returns Session making casts to Session unnecessary.,io.moderne.recipe:rewrite-hibernate:0.14.0-20251021.170654-12
io.moderne.hibernate.update70.ReplaceHibernateWithJakartaAnnotations,Replace hibernate annotations with Jakarta variants,Tries to replaces annotations that have been removed in Hibernate 7.0 with its Jakarta equivalent such as Table @Where @OrderBy etc. If a annotation is used with arguments that do not have a direct replacement the annotation is not replaced at all.,io.moderne.recipe:rewrite-hibernate:0.14.0-20251021.170654-12
io.moderne.hibernate.update70.ReplaceSessionLockRequest,Replace Session.buildLockRequest with LockOptions,Migrates Session.buildLockRequest(LockOptions.X) calls to use session.lock(entity new LockOptions(LockMode.X)) in Hibernate 7.0.,io.moderne.recipe:rewrite-hibernate:0.14.0-20251021.170654-12
io.moderne.hibernate.update70.UnboxingTransactionTimeout,Null safe Transaction#getTimeout(),JPA 3.2 adds `#getTimeout` but uses `Integer` whereas Hibernate has historically used `int`. Note that this raises the possibility of a `NullPointerException` during migration if e.g. performing direct comparisons on the timeout value against an in (auto unboxing). This recipe adds ternary operators where `Transaction#getTimeout()` is used and a negative value will be used if the `getTimeout()` resulted in a null value.,io.moderne.recipe:rewrite-hibernate:0.14.0-20251021.170654-12
io.moderne.hibernate.update70.UserTypeNullSafeGetSharedSessionContractImplementorRecipe,Remove leaking of SharedSessionContractImplementor from `org.hibernate.usertype.UserType` invocations,Remove leaking of SharedSessionContractImplementor from `org.hibernate.usertype.UserType` invocations.,io.moderne.recipe:rewrite-hibernate:0.14.0-20251021.170654-12
io.moderne.hibernate.update70.UserTypeSharedSessionContractImplementor,Remove leaking of SharedSessionContractImplementor from `org.hibernate.usertype.UserType` implementations,Remove leaking of SharedSessionContractImplementor from `org.hibernate.usertype.UserType` implementations.,io.moderne.recipe:rewrite-hibernate:0.14.0-20251021.170654-12
io.moderne.hibernate.update66.RemoveTableFromInheritedEntity,Remove table from single table inherited entity,For Single Table Inherited Entities Hibernate ignores the `@Table` annotation on child entities. From Version 6.6 it is considered an error.,io.moderne.recipe:rewrite-hibernate:0.14.0-20251021.170654-12
io.moderne.hibernate.MigrateToHibernate70,Migrate to Hibernate 7.0.x,This recipe will apply changes commonly needed when migrating to Hibernate 7.0.x.,io.moderne.recipe:rewrite-hibernate:0.14.0-20251021.170654-12
io.moderne.hibernate.update70.MigrateToHibernate7JFR,Migrate to Hibernate 7 JFR APIs,Migrates deprecated JFR integration APIs to their Hibernate 7 replacements. `EventManager` becomes `EventMonitor` and `HibernateMonitoringEvent` becomes `DiagnosticEvent`.,io.moderne.recipe:rewrite-hibernate:0.14.0-20251021.170654-12
io.moderne.hibernate.MigrateToHibernate66,Migrate to Hibernate 6.6.x,This recipe will apply changes commonly needed when migrating to Hibernate 6.6.x.,io.moderne.recipe:rewrite-hibernate:0.14.0-20251021.170654-12
io.moderne.hibernate.update66.MigrateCascadeTypes,Migrate Hibernate CascadeType constants,Moving away from deprecated Hibernate CascadeType constants. CascadeType.SAVE_UPDATE -> CascadeType.PERSIST and/or CascadeType.MERGE CascadeType.DELETE -> CascadeType.REMOVE.,io.moderne.recipe:rewrite-hibernate:0.14.0-20251021.170654-12
io.moderne.kafka.MigrateAlterConfigsToIncrementalAlterConfigs,Migrate `AdminClient.alterConfigs()` to `incrementalAlterConfigs()`,Migrates the removed `AdminClient.alterConfigs()` method to `incrementalAlterConfigs()` for Kafka 4.0 compatibility.,io.moderne.recipe:rewrite-kafka:0.4.0-20251021.170844-11
io.moderne.kafka.MigrateConsumerCommittedToSet,Migrate `KafkaConsumer.committed(TopicPartition)` to `committed(Set<TopicPartition>)`,Migrates from the removed `KafkaConsumer.committed(TopicPartition)` to `committed(Set<TopicPartition>)` for Kafka 4.0 compatibility. Converts single `TopicPartition` arguments to `Collections.singleton()` calls.,io.moderne.recipe:rewrite-kafka:0.4.0-20251021.170844-11
io.moderne.kafka.MigrateConsumerPollToDuration,Migrate `KafkaConsumer.poll(long)` to `poll(Duration)`,Migrates from the deprecated `KafkaConsumer.poll(long)` to `poll(Duration)` for Kafka 4.0 compatibility. Converts millisecond timeout values to `Duration.ofMillis()` calls.,io.moderne.recipe:rewrite-kafka:0.4.0-20251021.170844-11
io.moderne.kafka.MigrateSendOffsetsToTransaction,Migrate deprecated `sendOffsetsToTransaction` to use `ConsumerGroupMetadata`,Migrates from the deprecated `KafkaProducer.sendOffsetsToTransaction(Map String)` to `sendOffsetsToTransaction(Map ConsumerGroupMetadata)` for Kafka 4.0 compatibility. This recipe uses a conservative approach with `new ConsumerGroupMetadata(groupId)`.,io.moderne.recipe:rewrite-kafka:0.4.0-20251021.170844-11
io.moderne.kafka.RemoveDeprecatedKafkaProperties,Remove deprecated Kafka property,Removes a specific Kafka property that is no longer supported in Kafka 4.0.,io.moderne.recipe:rewrite-kafka:0.4.0-20251021.170844-11
io.moderne.kafka.streams.MigrateKStreamToTable,Migrate KStream to KTable conversion to use `toTable()` method,In Kafka Streams 2.5 a new `toTable()` method was added to simplify converting a KStream to a KTable. This recipe replaces the manual aggregation pattern `.groupByKey().reduce((oldVal newVal) -> newVal)` with the more concise `.toTable()` method.,io.moderne.recipe:rewrite-kafka:0.4.0-20251021.170844-11
io.moderne.kafka.streams.MigrateKafkaStreamsStoreMethod,Migrate deprecated `KafkaStreams#store` method,In Kafka Streams 2.5 the method `KafkaStreams#store(String storeName QueryableStoreType<T> storeType)` was deprecated. It only allowed querying active stores and did not support any additional query options. Use the new `StoreQueryParameters` API instead.,io.moderne.recipe:rewrite-kafka:0.4.0-20251021.170844-11
io.moderne.kafka.streams.MigrateRetryConfiguration,Migrate deprecated retry configuration to task timeout,In Kafka 2.7 `RETRIES_CONFIG` and `RETRY_BACKOFF_MS_CONFIG` were deprecated in favor of `TASK_TIMEOUT_MS_CONFIG`. This recipe migrates the old retry configuration to the new task timeout configuration attempting to preserve the retry budget by multiplying retries × backoff time. If only one config is present it falls back to 60000ms (1 minute).,io.moderne.recipe:rewrite-kafka:0.4.0-20251021.170844-11
io.moderne.kafka.streams.MigrateStreamsUncaughtExceptionHandler,Migrate to StreamsUncaughtExceptionHandler API,Migrates from the JVM-level Thread.UncaughtExceptionHandler to Kafka Streams' StreamsUncaughtExceptionHandler API introduced in version 2.8. This new API provides explicit control over how the Streams client should respond to uncaught exceptions (REPLACE_THREAD SHUTDOWN_CLIENT or SHUTDOWN_APPLICATION).,io.moderne.recipe:rewrite-kafka:0.4.0-20251021.170844-11
io.moderne.kafka.streams.MigrateTaskMetadataTaskId,Migrate `TaskMetadata.taskId()` to return `TaskId`,In Kafka Streams 3.0 `TaskMetadata.taskId()` changed its return type from `String` to `TaskId`. This recipe adds `.toString()` calls where necessary to maintain String compatibility.,io.moderne.recipe:rewrite-kafka:0.4.0-20251021.170844-11
io.moderne.kafka.streams.MigrateWindowStorePutMethod,Migrate `WindowStore.put()` to include timestamp,In Kafka Streams 2.4 `WindowStore.put()` requires a timestamp parameter. This recipe adds `context.timestamp()` as the third parameter.,io.moderne.recipe:rewrite-kafka:0.4.0-20251021.170844-11
io.moderne.kafka.streams.RemovePartitionGrouperConfiguration,Remove `PartitionGrouper` configuration,Starting with Kafka Streams 2.4 the `PartitionGrouper` API was deprecated and partition grouping is now fully handled internally by the library. This recipe removes the deprecated `PARTITION_GROUPER_CLASS_CONFIG` configuration.,io.moderne.recipe:rewrite-kafka:0.4.0-20251021.170844-11
io.moderne.kafka.MigrateToKafka33,Migrate to Kafka 3.3,Migrate applications to the latest Kafka 3.3 release.,io.moderne.recipe:rewrite-kafka:0.4.0-20251021.170844-11
io.moderne.kafka.MigrateToKafka40,Migrate to Kafka 4.0,Migrate applications to the latest Kafka 4.0 release. This includes updating dependencies to 4.0.x ensuring Java 11+ for clients and Java 17+ for brokers/tools and handling changes.,io.moderne.recipe:rewrite-kafka:0.4.0-20251021.170844-11
io.moderne.kafka.UpgradeJavaForKafkaClients,Upgrade Java to 11+ for Kafka clients,Ensures Java 11 or higher is used when Kafka client libraries are present.,io.moderne.recipe:rewrite-kafka:0.4.0-20251021.170844-11
io.moderne.kafka.UpgradeJavaForKafkaBroker,Upgrade Java to 17+ for Kafka broker/tools,Ensures Java 17 or higher is used when Kafka broker or tools dependencies are present.,io.moderne.recipe:rewrite-kafka:0.4.0-20251021.170844-11
io.moderne.kafka.MigrateConsumerGroupStateToGroupState,Migrate `ConsumerGroupState` to `GroupState`,Migrates from the deprecated `ConsumerGroupState` to `GroupState` for Kafka 4.0 compatibility. `ConsumerGroupState` was deprecated in favor of `GroupState` which supports both consumer groups and share groups.,io.moderne.recipe:rewrite-kafka:0.4.0-20251021.170844-11
io.moderne.kafka.MigrateToKafka28,Migrate to Kafka 2.8,Migrate applications to the latest Kafka 2.8 release.,io.moderne.recipe:rewrite-kafka:0.4.0-20251021.170844-11
io.moderne.kafka.MigrateToKafka31,Migrate to Kafka 3.1,Migrate applications to the latest Kafka 3.1 release.,io.moderne.recipe:rewrite-kafka:0.4.0-20251021.170844-11
io.moderne.kafka.MigrateToKafka23,Migrate to Kafka 2.3,Migrate applications to the latest Kafka 2.3 release.,io.moderne.recipe:rewrite-kafka:0.4.0-20251021.170844-11
io.moderne.kafka.streams.MigrateJoinedNameMethod,Migrate `Joined.named()` to `Joined.as()`,In Kafka Streams 2.3 `Joined.named()` was deprecated in favor of `Joined.as()`. Additionally the `name()` method was deprecated for removal and should not be used.,io.moderne.recipe:rewrite-kafka:0.4.0-20251021.170844-11
io.moderne.kafka.MigrateToKafka27,Migrate to Kafka 2.7,Migrate applications to the latest Kafka 2.7 release.,io.moderne.recipe:rewrite-kafka:0.4.0-20251021.170844-11
io.moderne.kafka.MigrateToKafka24,Migrate to Kafka 2.4,Migrate applications to the latest Kafka 2.4 release.,io.moderne.recipe:rewrite-kafka:0.4.0-20251021.170844-11
io.moderne.kafka.MigrateToKafka25,Migrate to Kafka 2.5,Migrate applications to the latest Kafka 2.5 release.,io.moderne.recipe:rewrite-kafka:0.4.0-20251021.170844-11
io.moderne.kafka.MigrateToKafka26,Migrate to Kafka 2.6,Migrate applications to the latest Kafka 2.6 release.,io.moderne.recipe:rewrite-kafka:0.4.0-20251021.170844-11
io.moderne.kafka.streams.ProcessingGuaranteeExactlyOnceToBeta,Migrate `exactly_once` to `exactly_once_beta`,Kafka Streams 2.6 introduces the exactly-once semantics v2 which is a more efficient implementation with improved internal handling. Though it is beta it’s fully backward-compatible from the API standpoint but internally it uses a different transaction/commit protocol. Starting from 3.0 it becomes the default "exactly_once_v2".,io.moderne.recipe:rewrite-kafka:0.4.0-20251021.170844-11
io.moderne.kafka.MigrateToKafka30,Migrate to Kafka 3.0,Migrate applications to the latest Kafka 3.0 release.,io.moderne.recipe:rewrite-kafka:0.4.0-20251021.170844-11
io.moderne.kafka.streams.ProcessingGuaranteeExactlyOnceToV2,Migrate `exactly_once` and `exactly_once_beta` to `exactly_once_v2`,Kafka Streams 2.6 introduces the exactly-once semantics v2 which is a more efficient implementation with improved internal handling. Starting from 3.0 it becomes the default "exactly_once_v2".,io.moderne.recipe:rewrite-kafka:0.4.0-20251021.170844-11
io.moderne.kafka.streams.MigrateTaskAndThreadMetadata,Migrate TaskMetadata and ThreadMetadata,Migrates TaskMetadata and ThreadMetadata from org.apache.kafka.streams.processor package to org.apache.kafka.streams package and updates TaskMetadata.taskId() calls to include .toString() for String compatibility.,io.moderne.recipe:rewrite-kafka:0.4.0-20251021.170844-11
io.moderne.kafka.MigrateToKafka41,Migrate to Kafka 4.1,Migrate applications to the latest Kafka 4.1 release. This includes updating dependencies to 4.1.x migrating deprecated Admin API methods updating Streams configuration properties and removing deprecated broker properties.,io.moderne.recipe:rewrite-kafka:0.4.0-20251021.170844-11
